class,method,ATFD,ATLD,Error
Optional[com.zaxxer.hikari.metrics.prometheus.PrometheusHistogramMetricsTrackerFactory],create,add com.zaxxer.hikari.metrics.prometheus.HikariCPCollector | ,registerCollector com.zaxxer.hikari.metrics.prometheus.PrometheusHistogramMetricsTrackerFactory | ,
Optional[com.zaxxer.hikari.metrics.prometheus.PrometheusHistogramMetricsTrackerFactory],registerCollector,putIfAbsent java.util.Map | register io.prometheus.client.Collector | ,,
Optional[com.zaxxer.hikari.metrics.dropwizard.CodahaleHealthChecker.Connection99Percent],check,toMillis java.util.concurrent.TimeUnit | round java.lang.Math | get99thPercentile com.codahale.metrics.Snapshot | getSnapshot com.codahale.metrics.Timer | unhealthy com.codahale.metrics.health.HealthCheck.Result | healthy com.codahale.metrics.health.HealthCheck.Result | ,,
Optional[com.zaxxer.hikari.util.ClockSource.NanosecondClockSource],currentTime0,nanoTime java.lang.System | ,,
Optional[com.zaxxer.hikari.util.ClockSource.NanosecondClockSource],toMillis0,toMillis java.util.concurrent.TimeUnit | ,,
Optional[com.zaxxer.hikari.util.ClockSource.NanosecondClockSource],toNanos0,,,
Optional[com.zaxxer.hikari.util.ClockSource.NanosecondClockSource],elapsedMillis0,toMillis java.util.concurrent.TimeUnit | nanoTime java.lang.System | ,,
Optional[com.zaxxer.hikari.util.ClockSource.NanosecondClockSource],elapsedMillis0,toMillis java.util.concurrent.TimeUnit | ,,
Optional[com.zaxxer.hikari.util.ClockSource.NanosecondClockSource],elapsedNanos0,nanoTime java.lang.System | ,,
Optional[com.zaxxer.hikari.util.ClockSource.NanosecondClockSource],elapsedNanos0,,,
Optional[com.zaxxer.hikari.util.ClockSource.NanosecondClockSource],plusMillis0,toNanos java.util.concurrent.TimeUnit | ,,
Optional[com.zaxxer.hikari.util.ClockSource.NanosecondClockSource],getSourceTimeUnit0,,,
Optional[com.zaxxer.hikari.pool.HikariPool.HouseKeeper],run,error org.slf4j.Logger | getConnectionTimeout com.zaxxer.hikari.HikariConfig | getValidationTimeout com.zaxxer.hikari.HikariConfig | updateLeakDetectionThreshold com.zaxxer.hikari.pool.ProxyLeakTaskFactory | getLeakDetectionThreshold com.zaxxer.hikari.HikariConfig | getCatalog com.zaxxer.hikari.HikariConfig | equals java.lang.String | getCatalog com.zaxxer.hikari.HikariConfig | set java.util.concurrent.atomic.AtomicReferenceFieldUpdater | getCatalog com.zaxxer.hikari.HikariConfig | getIdleTimeout com.zaxxer.hikari.HikariConfig | currentTime com.zaxxer.hikari.util.ClockSource | plusMillis com.zaxxer.hikari.util.ClockSource | plusMillis com.zaxxer.hikari.util.ClockSource | plusMillis com.zaxxer.hikari.util.ClockSource | warn org.slf4j.Logger | elapsedDisplayString com.zaxxer.hikari.util.ClockSource | warn org.slf4j.Logger | elapsedDisplayString com.zaxxer.hikari.util.ClockSource | softEvictConnections com.zaxxer.hikari.pool.HikariPool | getMinimumIdle com.zaxxer.hikari.HikariConfig | getMaximumPoolSize com.zaxxer.hikari.HikariConfig | logPoolState com.zaxxer.hikari.pool.HikariPool | logPoolState com.zaxxer.hikari.pool.HikariPool | values com.zaxxer.hikari.util.ConcurrentBag | size java.util.List | getMinimumIdle com.zaxxer.hikari.HikariConfig | elapsedMillis com.zaxxer.hikari.util.ClockSource | reserve com.zaxxer.hikari.util.ConcurrentBag | closeConnection com.zaxxer.hikari.pool.HikariPool | logPoolState com.zaxxer.hikari.pool.HikariPool | fillPool com.zaxxer.hikari.pool.HikariPool | ,,
Optional[com.zaxxer.hikari.pool.HikariPool.PoolEntryCreator],call,logPoolState com.zaxxer.hikari.pool.HikariPool | logPoolState com.zaxxer.hikari.pool.HikariPool | createPoolEntry com.zaxxer.hikari.pool.HikariPool | debug org.slf4j.Logger | quietlySleep com.zaxxer.hikari.util.UtilityElf | min java.lang.Math | toMillis java.util.concurrent.TimeUnit | add com.zaxxer.hikari.util.ConcurrentBag | debug org.slf4j.Logger | quietlySleep com.zaxxer.hikari.util.UtilityElf | ,shouldContinueCreating com.zaxxer.hikari.pool.HikariPool.PoolEntryCreator | ,
Optional[com.zaxxer.hikari.pool.HikariPool.PoolEntryCreator],shouldContinueCreating,interrupted java.lang.Thread | getTotalConnections com.zaxxer.hikari.pool.HikariPool | getMaximumPoolSize com.zaxxer.hikari.HikariConfig | getIdleConnections com.zaxxer.hikari.pool.HikariPool | getMinimumIdle com.zaxxer.hikari.HikariConfig | getWaitingThreadCount com.zaxxer.hikari.util.ConcurrentBag | getIdleConnections com.zaxxer.hikari.pool.HikariPool | ,,
Optional[com.zaxxer.hikari.HikariJNDIFactory],getObjectInstance,equals java.lang.String | getClassName javax.naming.Reference | getPropertyNames com.zaxxer.hikari.util.PropertyElf | getAll javax.naming.Reference | nextElement java.util.Enumeration | getType javax.naming.RefAddr | startsWith java.lang.String | contains java.util.Set | setProperty java.util.Properties | toString java.lang.Object | getContent javax.naming.RefAddr | hasMoreElements java.util.Enumeration | ,createDataSource com.zaxxer.hikari.HikariJNDIFactory | ,
Optional[com.zaxxer.hikari.HikariJNDIFactory],createDataSource,getProperty java.util.Properties | ,lookupJndiDataSource com.zaxxer.hikari.HikariJNDIFactory | ,
Optional[com.zaxxer.hikari.HikariJNDIFactory],lookupJndiDataSource,lookup javax.naming.Context | lookup javax.naming.InitialContext | close javax.naming.InitialContext | setDataSource com.zaxxer.hikari.HikariConfig | ,,
Optional[com.zaxxer.hikari.util.SuspendResumeLock],acquire,tryAcquire java.util.concurrent.Semaphore | getBoolean java.lang.Boolean | acquireUninterruptibly java.util.concurrent.Semaphore | ,,
Optional[com.zaxxer.hikari.util.SuspendResumeLock],release,release java.util.concurrent.Semaphore | ,,
Optional[com.zaxxer.hikari.util.SuspendResumeLock],suspend,acquireUninterruptibly java.util.concurrent.Semaphore | ,,
Optional[com.zaxxer.hikari.util.SuspendResumeLock],resume,release java.util.concurrent.Semaphore | ,,
Optional[com.zaxxer.hikari.util.UtilityElf.CustomDiscardPolicy],rejectedExecution,,,
Optional[com.zaxxer.hikari.util.ConcurrentBag.IBagStateListener],addBagItem,,,
Optional[com.zaxxer.hikari.HikariCredentialsProvider],getCredentials,,,
